School Code,School Name
1224,Centennial High School
1679,Robert Thirsk School
9626,Louise Dean School
9806,Queen Elizabeth High School
9813,Forest Lawn High School
9815,Crescent Heights High School
9816,Western Canada High School
9823,Central Memorial High School
9825,James Fowler High School
9826,Ernest Manning High School
9829,William Aberhart High School
9830,National Sport School
9836,Henry Wise Wood High School
9847,Bowness High School
9850,Lord Beaverbrook High School
9856,Jack James High School
9857,Sir Winston Churchill High School
9858,Dr. E. P. Scarlett High School
9860,John G Diefenbaker High School
9865,Lester B. Pearson High School
